image,prompt,strength,guidance,tag,clip_orig,clip_edit,clip_gain,siglip_orig,siglip_edit,siglip_gain,lpips_vs_orig
cat_00,a cat wearing a red party hat,0.55,7.5,s0.55_g7.5,0.2577,0.2607,0.0029,0.0644,0.0485,-0.0159,0.1941
cat_00,a cat wearing a red party hat,0.7,7.5,s0.7_g7.5,0.2577,0.3703,0.1125,0.0644,0.1592,0.0948,0.2422
cat_00,a cat wearing a red party hat,0.8,7.5,s0.8_g7.5,0.2577,0.3509,0.0931,0.0644,0.1549,0.0906,0.2805
cat_00,a cat wearing a red party hat,0.8,12.0,s0.8_g12,0.2577,0.3604,0.1027,0.0644,0.1443,0.0799,0.284
cat_00,a cat wearing a red party hat,0.9,12.0,s0.9_g12,0.2577,0.3172,0.0594,0.0644,0.1486,0.0842,0.3366
parrot_00,a parrot perched on a branch in a rainforest,0.55,7.5,s0.55_g7.5,0.2766,0.2928,0.0162,0.0776,0.0963,0.0186,0.3386
parrot_00,a parrot perched on a branch in a rainforest,0.7,7.5,s0.7_g7.5,0.2766,0.2924,0.0159,0.0776,0.1035,0.0259,0.3829
parrot_00,a parrot perched on a branch in a rainforest,0.8,7.5,s0.8_g7.5,0.2766,0.2992,0.0226,0.0776,0.1067,0.0291,0.4655
parrot_00,a parrot perched on a branch in a rainforest,0.8,12.0,s0.8_g12,0.2766,0.3038,0.0272,0.0776,0.1038,0.0262,0.5074
parrot_00,a parrot perched on a branch in a rainforest,0.9,12.0,s0.9_g12,0.2766,0.3274,0.0509,0.0776,0.1019,0.0243,0.5226
person_a_00,Barack Obama,0.55,7.5,s0.55_g7.5,0.2134,0.2801,0.0667,0.0392,0.1065,0.0673,0.4353
person_a_00,Barack Obama,0.7,7.5,s0.7_g7.5,0.2134,0.2767,0.0632,0.0392,0.1127,0.0735,0.5219
person_a_00,Barack Obama,0.8,7.5,s0.8_g7.5,0.2134,0.2651,0.0516,0.0392,0.1061,0.0669,0.5671
person_a_00,Barack Obama,0.8,12.0,s0.8_g12,0.2134,0.2671,0.0536,0.0392,0.1071,0.0679,0.5835
person_a_00,Barack Obama,0.9,12.0,s0.9_g12,0.2134,0.2852,0.0717,0.0392,0.1117,0.0725,0.6493
person_b_00,Morgan Freeman,0.55,7.5,s0.55_g7.5,0.1591,0.2987,0.1395,-0.0904,0.0465,0.1369,0.512
person_b_00,Morgan Freeman,0.7,7.5,s0.7_g7.5,0.1591,0.3138,0.1547,-0.0904,0.0957,0.1862,0.5963
person_b_00,Morgan Freeman,0.8,7.5,s0.8_g7.5,0.1591,0.3042,0.145,-0.0904,0.1069,0.1973,0.6116
person_b_00,Morgan Freeman,0.8,12.0,s0.8_g12,0.1591,0.3115,0.1524,-0.0904,0.0936,0.184,0.6426
person_b_00,Morgan Freeman,0.9,12.0,s0.9_g12,0.1591,0.312,0.1529,-0.0904,0.113,0.2035,0.6705
person_c_00,Taylor Swift,0.55,7.5,s0.55_g7.5,0.1835,0.2764,0.0929,-0.0061,0.1015,0.1075,0.4623
person_c_00,Taylor Swift,0.7,7.5,s0.7_g7.5,0.1835,0.2794,0.0959,-0.0061,0.1029,0.109,0.5359
person_c_00,Taylor Swift,0.8,7.5,s0.8_g7.5,0.1835,0.2826,0.0991,-0.0061,0.0977,0.1037,0.5782
person_c_00,Taylor Swift,0.8,12.0,s0.8_g12,0.1835,0.2793,0.0958,-0.0061,0.0967,0.1028,0.6118
person_c_00,Taylor Swift,0.9,12.0,s0.9_g12,0.1835,0.2867,0.1031,-0.0061,0.0969,0.103,0.6474
raccoon_00,a panda,0.55,7.5,s0.55_g7.5,0.2432,0.2889,0.0457,0.0466,0.1105,0.0638,0.5383
raccoon_00,a panda,0.7,7.5,s0.7_g7.5,0.2432,0.2902,0.047,0.0466,0.1161,0.0694,0.5893
raccoon_00,a panda,0.8,7.5,s0.8_g7.5,0.2432,0.3069,0.0638,0.0466,0.1213,0.0747,0.6031
raccoon_00,a panda,0.8,12.0,s0.8_g12,0.2432,0.298,0.0549,0.0466,0.1201,0.0735,0.632
raccoon_00,a panda,0.9,12.0,s0.9_g12,0.2432,0.3046,0.0614,0.0466,0.1138,0.0671,0.7312
shiba_00,a cat,0.55,7.5,s0.55_g7.5,0.225,0.2779,0.0529,0.0242,0.0887,0.0645,0.4743
shiba_00,a cat,0.7,7.5,s0.7_g7.5,0.225,0.2648,0.0398,0.0242,0.0892,0.065,0.5759
shiba_00,a cat,0.8,7.5,s0.8_g7.5,0.225,0.2619,0.0369,0.0242,0.0881,0.0639,0.6586
shiba_00,a cat,0.8,12.0,s0.8_g12,0.225,0.2616,0.0366,0.0242,0.0886,0.0644,0.6915
shiba_00,a cat,0.9,12.0,s0.9_g12,0.225,0.2673,0.0423,0.0242,0.0902,0.066,0.7263
