image,condition,instruction,verdict,judge,note
task_attr_mod_color_11699,b_ph_rpi,turn the color of potted plant to pink,blocked,claude_visual,整張洋紅飽和、人不見了，只剩一株植物
task_attr_mod_color_136767,b_ph_rpi,turn the color of astronaut to pink,blocked,claude_visual,巨大洋紅色塊佔滿畫面，太空人縮成一小塊卡通樣
task_attr_mod_color_184837,b_ph_rpi,turn the color of frame to pink,blocked,claude_visual,整張變成單一洋紅色塊，雕花框與人像全消失
task_attr_mod_color_32648,b_ph_rpi,turn the color of potion bottle to orange,blocked,claude_visual,換成灰底上數個橘色瓶罐；原本的暗底單瓶構圖不在
task_attr_mod_color_6205,b_ph_rpi,turn the color of toolbox to red,blocked,claude_visual,整張紅色平面，只剩極淡的輪廓殘影
task_env_weather_112463,b_ph_rpi,transform the setting to spring with blooming,blocked,claude_visual,變成粉紅花卉特寫，泳者與泳池全消失
task_env_weather_246440,b_ph_rpi,transform the setting to autumn with falling leaves,failed,claude_visual,龍雕像位置姿態不變只是變糊變淡；單純劣化
task_env_weather_63722,b_ph_rpi,change the setting to a snowy landscape,blocked,claude_visual,變成白灰色雲霧狀紋理，鐵門與磚柱不見
task_obj_add_40931,b_ph_rpi,Add the blood on snout,blocked,claude_visual,換成紅底上的犬科頭部特寫，鐵網籠子全消失
task_obj_remove_380621,b_ph_rpi,Remove iceberg,blocked,claude_visual,換成亮藍海面加多座冰山，灰調湖景與山脈全消失
task_obj_swap_joint_mask_276754,b_ph_rpi,Replace the satellite dish with rocket,blocked,claude_visual,銀河背景下的鐵塔與火箭，與原圖及未防禦編輯都不同
task_obj_swap_joint_mask_533428,b_ph_rpi,Replace the samurai armor with red jacket,blocked,claude_visual,四個樂手換成兩個完全不同的人，構圖也換了
task_obj_swap_rand_mask_417469,b_ph_rpi,Replace the green flannel shirt with blue shirt,blocked,claude_visual,變成藍色 polo 衫特寫，人與記者會背板全消失
