image,instruction,clip_orig,clip_edit,clip_gain,siglip_orig,siglip_edit,siglip_gain,pixel_lpips,edit_steps,s_t,s_i,edit_seed,seconds
task_attr_mod_color_11699,turn the color of potted plant to pink,0.26051,0.30398,0.04347,0.04886,0.08976,0.0409,0.28019,100,7.5,1.5,20260812,80.1
task_attr_mod_color_184837,turn the color of frame to pink,0.25032,0.293,0.04268,0.01865,0.10322,0.08457,0.33507,100,7.5,1.5,20260812,71.0
task_attr_mod_color_6205,turn the color of toolbox to red,0.23827,0.23497,-0.0033,0.00355,0.01023,0.00667,0.22862,100,7.5,1.5,20260812,72.2
task_env_weather_133752,transform the setting to a rainy day,0.20725,0.21844,0.01119,0.0084,0.01015,0.00175,0.15533,100,7.5,1.5,20260812,71.8
task_env_weather_246440,transform the setting to autumn with falling leaves,0.1768,0.26083,0.08403,-0.00086,0.0783,0.07916,0.6597,100,7.5,1.5,20260812,71.8
task_obj_add_13726,Add subscribe button,0.19719,0.18696,-0.01023,-0.10893,-0.10305,0.00588,0.20544,100,7.5,1.5,20260812,72.0
task_obj_add_40931,Add the blood on snout,0.20203,0.2237,0.02167,-0.00017,0.05949,0.05966,0.20748,100,7.5,1.5,20260812,71.9
task_obj_add_692065,Add monk,0.21138,0.21155,0.00017,-0.00182,-0.01077,-0.00895,0.13952,100,7.5,1.5,20260812,71.9
task_obj_remove_257910,Remove bracelet,0.20285,0.203,0.00016,-0.01317,-0.01285,0.00032,0.12794,100,7.5,1.5,20260812,71.9
task_obj_remove_509477,Remove the man with glasses,0.23143,0.22245,-0.00898,0.01982,0.02079,0.00097,0.14766,100,7.5,1.5,20260812,72.0
task_obj_swap_joint_mask_276754,Replace the satellite dish with rocket,0.2578,0.23887,-0.01893,0.09434,0.06989,-0.02445,0.72745,100,7.5,1.5,20260812,72.2
task_obj_swap_joint_mask_75733,Replace the snowy landscape with sea,0.23066,0.20588,-0.02478,0.00319,0.00652,0.00333,0.18171,100,7.5,1.5,20260812,72.1
task_obj_swap_rand_mask_417469,Replace the green flannel shirt with blue shirt,0.21969,0.20907,-0.01063,0.09033,0.08512,-0.00521,0.20558,100,7.5,1.5,20260812,71.6
