image_id,status,content,crop_box,crop_side,upscale,coverage_before,coverage,limited_by
bird_00,已裁切,bird,"(0, 99, 413, 512)",413,1.24,0.7605,0.6428,外接框（框內主體僅佔 0.32）
bird_01,已裁切,bird,"(108, 121, 462, 475)",354,1.45,0.8106,0.6253,外接框（框內主體僅佔 0.33）
bird_02,已裁切,bird,"(86, 80, 468, 462)",382,1.34,0.8671,0.7755,外接框（框內主體僅佔 0.19）
bird_03,已裁切,bird,"(111, 61, 512, 462)",401,1.28,0.8009,0.6913,外接框（框內主體僅佔 0.26）
cat_00,已裁切,cat,"(18, 66, 387, 435)",369,1.39,0.8099,0.6541,外接框（框內主體僅佔 0.30）
cat_01,已裁切,cat,"(149, 190, 471, 512)",322,1.59,0.7888,0.4879,外接框（框內主體僅佔 0.48）
cat_02,已裁切,cat,"(95, 3, 512, 420)",417,1.23,0.7165,0.5846,外接框（框內主體僅佔 0.38）
cat_03,已裁切,cat,"(169, 92, 414, 337)",245,2.09,0.8857,0.5485,外接框（框內主體僅佔 0.41）
dog_00,已在窗口內,,,,,,0.2582,
dog_01,已在窗口內,,,,,,0.4091,
dog_02,已在窗口內,,,,,,0.4273,
dog_03,已在窗口內,,,,,,0.3609,
horse_00,已裁切,horse,"(169, 173, 461, 465)",292,1.75,0.8737,0.6451,外接框（框內主體僅佔 0.32）
horse_01,已裁切,horse,"(39, 50, 365, 376)",326,1.57,0.7908,0.5115,外接框（框內主體僅佔 0.45）
horse_02,已裁切,horse,"(55, 10, 457, 412)",402,1.27,0.717,0.5568,外接框（框內主體僅佔 0.40）
horse_03,已裁切,horse,"(31, 31, 512, 512)",481,1.06,0.5377,0.4795,外接框（框內主體僅佔 0.48）
man_00,已裁切,man,"(50, 0, 470, 420)",420,1.22,0.6588,0.5009,外接框（框內主體僅佔 0.47）
man_01,已裁切,man,"(48, 177, 383, 512)",335,1.53,0.8178,0.5943,外接框（框內主體僅佔 0.37）
man_02,已在窗口內,,,,,,0.379,
man_03,已裁切,man,"(78, 267, 323, 512)",245,2.09,0.8614,0.4379,
woman_00,已在窗口內,,,,,,0.3861,
woman_01,已在窗口內,,,,,,0.4271,
woman_02,已裁切,woman,"(99, 55, 411, 367)",312,1.64,0.7924,0.4696,外接框（框內主體僅佔 0.49）
woman_03,已裁切,woman,"(164, 81, 391, 308)",227,2.26,0.8895,0.4971,外接框（框內主體僅佔 0.46）
