image,condition,prompt_index,prompt,block,r_min,quantile,target_image,budget_target,budget_mode,budget_reached,unreachable,radius,total_seconds,fid_lpips,fid_ssim,fid_dists,fid_psnr,fid_clip_img,fid_nima,fid_cnniqa,edit_strength,edit_lpips,edit_clip_orig,edit_clip_def,edit_clip_drop,edit_siglip_orig,edit_siglip_def,edit_siglip_drop,amp_dev,active_fraction,stage1_seconds
person_c_00,phase_rand,0,Oprah Winfrey wearing a blue baseball cap,32,0.12,0.5,data/targets/gray.png,human,human,0.04275,False,1.3,11.1,0.106,0.9478,0.0428,32.936,0.9967,4.782,0.6602,0.7,0.2046,0.3699,0.3051,0.0648,0.1492,0.0669,0.0822,0.0427,0.563,
raccoon_00,add,0,a panda holding a ball,32,0.12,0.5,data/targets/gray.png,human,human,0.01179,False,0.00471,25.5,0.1419,0.9974,0.0118,47.9257,0.9943,6.0664,0.7075,0.7,0.212,0.3668,0.371,-0.0042,0.1476,0.1507,-0.0032,,,
raccoon_00,phase,0,a panda holding a ball,32,0.12,0.5,data/targets/gray.png,human,human,0.03211,False,1.3,25.7,0.2502,0.9423,0.0321,28.2977,0.9983,5.8826,0.7308,0.7,0.577,0.3668,0.3029,0.0639,0.1476,0.0918,0.0558,0.03779,0.4693,
raccoon_00,phase_rand,0,a panda holding a ball,32,0.12,0.5,data/targets/gray.png,human,human,0.03669,False,1.3,11.0,0.0596,0.9562,0.0367,29.5942,0.9984,5.8968,0.7077,0.7,0.1482,0.3668,0.3576,0.0092,0.1476,0.1467,0.0009,0.03589,0.4693,
shiba_00,add,0,a cat,32,0.12,0.5,data/targets/gray.png,human,human,0.00279,False,0.00471,25.5,0.2169,0.9974,0.0028,47.7194,0.9992,5.6713,0.708,0.7,0.3037,0.2648,0.2804,-0.0156,0.0892,0.0899,-0.0007,,,
shiba_00,phase,0,a cat,32,0.12,0.5,data/targets/gray.png,human,human,0.02675,False,1.3,25.7,0.1842,0.9602,0.0268,31.4284,0.9983,5.4448,0.6989,0.7,0.598,0.2648,0.2916,-0.0268,0.0892,0.0966,-0.0074,0.02257,0.4645,
shiba_00,phase_rand,0,a cat,32,0.12,0.5,data/targets/gray.png,human,human,0.04078,False,1.3,11.0,0.0584,0.9639,0.0408,32.182,0.9979,5.3538,0.673,0.7,0.1412,0.2648,0.2668,-0.0021,0.0892,0.0905,-0.0013,0.02207,0.4645,
cat_00,apa_weak,,,,,,,,,,,,146.6,0.0686,0.9301,0.0574,27.1503,0.987,5.4249,0.6772,0.7,0.084,0.3703,0.3436,0.0266,0.1592,0.1137,0.0455,,,46.7
cat_00,mist,,,,,,,,,,,,84.2,0.6192,0.8597,0.1864,26.85,0.9371,5.0813,0.7092,0.7,0.6069,0.3703,0.3122,0.0581,0.1592,0.0804,0.0788,,,0.0
cat_00,dia_r,,,,,,,,,,,,149.0,0.3183,0.9893,0.0733,40.6836,0.991,5.4704,0.708,0.7,0.3617,0.3703,0.3301,0.0402,0.1592,0.137,0.0221,,,0.0
parrot_00,apa_weak,,,,,,,,,,,,129.8,0.1308,0.8766,0.0603,22.1534,0.9422,5.2914,0.6367,0.7,0.1281,0.3174,0.3208,-0.0034,0.1113,0.114,-0.0028,,,46.7
parrot_00,mist,,,,,,,,,,,,84.6,0.6611,0.7125,0.142,26.5203,0.856,5.2666,0.7185,0.7,0.576,0.3174,0.3051,0.0123,0.1113,0.1086,0.0027,,,0.0
parrot_00,dia_r,,,,,,,,,,,,149.1,0.3699,0.9749,0.0594,40.2663,0.9124,5.5331,0.7024,0.7,0.4835,0.3174,0.2996,0.0177,0.1113,0.1164,-0.0051,,,0.0
person_a_00,apa_weak,,,,,,,,,,,,129.6,0.1418,0.8818,0.0697,22.0682,0.9803,5.1687,0.6044,0.7,0.3098,0.3649,0.3708,-0.0059,0.1501,0.1476,0.0025,,,46.8
person_a_00,mist,,,,,,,,,,,,84.8,0.6537,0.7873,0.1919,26.6218,0.8745,4.6787,0.614,0.7,0.7013,0.3649,0.3339,0.031,0.1501,0.151,-0.0009,,,0.0
person_a_00,dia_r,,,,,,,,,,,,149.1,0.3189,0.986,0.0411,40.831,0.9886,5.3174,0.6469,0.7,0.3939,0.3649,0.3686,-0.0037,0.1501,0.1453,0.0048,,,0.0
person_b_00,apa_weak,,,,,,,,,,,,129.7,0.2372,0.7355,0.1885,18.2348,0.9702,4.6485,0.5468,0.7,0.3569,0.3155,0.3078,0.0077,0.1167,0.1575,-0.0407,,,46.7
person_b_00,mist,,,,,,,,,,,,84.6,0.6183,0.7606,0.2095,26.7388,0.8518,3.6156,0.635,0.7,0.6582,0.3155,0.3503,-0.0348,0.1167,0.1717,-0.055,,,0.0
person_b_00,dia_r,,,,,,,,,,,,149.0,0.2817,0.983,0.0465,40.2429,0.9571,4.5614,0.6527,0.7,0.2879,0.3155,0.3362,-0.0207,0.1167,0.1463,-0.0296,,,0.0
person_c_00,apa_weak,,,,,,,,,,,,129.6,0.185,0.7482,0.0838,21.6748,0.9706,4.8205,0.6352,0.7,0.2751,0.3699,0.3308,0.0391,0.1492,0.1426,0.0066,,,46.7
person_c_00,mist,,,,,,,,,,,,84.9,0.5956,0.8092,0.1743,26.9636,0.8934,4.5026,0.6417,0.7,0.6569,0.3699,0.3918,-0.0218,0.1492,0.1652,-0.016,,,0.0
person_c_00,dia_r,,,,,,,,,,,,149.3,0.1832,0.9882,0.0215,40.1437,0.9813,4.9836,0.6559,0.7,0.1864,0.3699,0.3887,-0.0188,0.1492,0.1713,-0.0221,,,0.0
raccoon_00,apa_weak,,,,,,,,,,,,129.7,0.2974,0.6006,0.1959,16.33,0.9489,5.6157,0.6665,0.7,0.3201,0.3668,0.3692,-0.0024,0.1476,0.1436,0.004,,,46.7
raccoon_00,mist,,,,,,,,,,,,84.6,0.5746,0.8186,0.1414,26.4759,0.9518,5.3046,0.7072,0.7,0.6953,0.3668,0.343,0.0238,0.1476,0.1608,-0.0132,,,0.0
raccoon_00,dia_r,,,,,,,,,,,,149.1,0.22,0.9854,0.0324,40.0701,0.9829,6.0541,0.7039,0.7,0.4148,0.3668,0.3464,0.0204,0.1476,0.1433,0.0042,,,0.0
shiba_00,apa_weak,,,,,,,,,,,,129.5,0.2092,0.7607,0.1555,19.235,0.9545,5.4067,0.5398,0.7,0.3312,0.2648,0.2693,-0.0046,0.0892,0.0928,-0.0036,,,46.7
shiba_00,mist,,,,,,,,,,,,84.8,0.6413,0.7778,0.1214,26.4658,0.9596,5.2004,0.7148,0.7,0.6991,0.2648,0.2664,-0.0017,0.0892,0.0814,0.0078,,,0.0
shiba_00,dia_r,,,,,,,,,,,,149.0,0.2616,0.984,0.0257,40.3683,0.9837,5.6958,0.7099,0.7,0.3781,0.2648,0.2658,-0.001,0.0892,0.0877,0.0015,,,0.0
person_a_00,photoguard_c,,,,,,,,,,,,7022.1,0.4236,0.9853,0.0492,40.8959,0.9892,5.2963,0.6445,0.7,0.5787,0.3649,0.3754,-0.0105,0.1501,0.1513,-0.0012,,,0.0
person_b_00,photoguard_c,,,,,,,,,,,,6154.7,0.401,0.9851,0.041,40.8943,0.9734,4.6366,0.6537,0.7,0.5664,0.3155,0.3401,-0.0246,0.1167,0.1907,-0.0739,,,0.0
person_c_00,photoguard_c,,,,,,,,,,,,6069.2,0.3005,0.9871,0.0233,40.9006,0.9901,4.8862,0.6599,0.7,0.505,0.3699,0.3962,-0.0262,0.1492,0.1909,-0.0418,,,0.0
cat_00,photoguard_c,,,,,,,,,,,,6162.5,0.4005,0.9857,0.0743,40.8972,0.9938,5.3624,0.7045,0.7,0.4919,0.3703,0.3674,0.0029,0.1592,0.1315,0.0277,,,0.0
shiba_00,photoguard_c,,,,,,,,,,,,6271.0,0.3624,0.9851,0.02,40.8947,0.9944,5.6732,0.7093,0.7,0.4597,0.2648,0.2739,-0.0092,0.0892,0.091,-0.0017,,,0.0
raccoon_00,photoguard_c,,,,,,,,,,,,6252.2,0.2828,0.9849,0.0311,40.8943,0.9833,6.0209,0.7068,0.7,0.3259,0.3668,0.2944,0.0724,0.1476,0.0922,0.0553,,,0.0
parrot_00,photoguard_c,,,,,,,,,,,,6270.0,0.4358,0.9815,0.0495,40.8946,0.9054,5.5673,0.7035,0.7,0.4507,0.3174,0.3227,-0.0053,0.1113,0.1193,-0.008,,,0.0
