image,prompt,strength,guidance,tag,clip_orig,clip_edit,clip_gain,siglip_orig,siglip_edit,siglip_gain,lpips_vs_orig
cat_00,a cat wearing a red party hat,0.55,7.5,s0.55_g7.5,0.2577,0.2607,0.0029,0.0644,0.0485,-0.0159,0.1941
cat_00,a cat wearing a red party hat,0.7,7.5,s0.7_g7.5,0.2577,0.3703,0.1125,0.0644,0.1592,0.0948,0.2422
cat_00,a cat wearing a red party hat,0.8,7.5,s0.8_g7.5,0.2577,0.3509,0.0931,0.0644,0.1549,0.0906,0.2805
cat_00,a cat wearing a red party hat,0.8,12.0,s0.8_g12,0.2577,0.3604,0.1027,0.0644,0.1443,0.0799,0.284
cat_00,a cat wearing a red party hat,0.9,12.0,s0.9_g12,0.2577,0.3172,0.0594,0.0644,0.1486,0.0842,0.3366
lebron_00,LeBron James standing on a sunny beach,0.55,7.5,s0.55_g7.5,0.2737,0.2732,-0.0005,0.0664,0.0692,0.0028,0.4271
lebron_00,LeBron James standing on a sunny beach,0.7,7.5,s0.7_g7.5,0.2737,0.266,-0.0076,0.0664,0.068,0.0016,0.4885
lebron_00,LeBron James standing on a sunny beach,0.8,7.5,s0.8_g7.5,0.2737,0.275,0.0014,0.0664,0.0736,0.0072,0.5423
lebron_00,LeBron James standing on a sunny beach,0.8,12.0,s0.8_g12,0.2737,0.289,0.0153,0.0664,0.0531,-0.0133,0.5823
lebron_00,LeBron James standing on a sunny beach,0.9,12.0,s0.9_g12,0.2737,0.2875,0.0138,0.0664,0.0915,0.025,0.6438
musk_00,Elon Musk standing in a busy city street at night,0.55,7.5,s0.55_g7.5,0.2761,0.2854,0.0094,0.052,0.0538,0.0017,0.2708
musk_00,Elon Musk standing in a busy city street at night,0.7,7.5,s0.7_g7.5,0.2761,0.285,0.009,0.052,0.0379,-0.0141,0.3309
musk_00,Elon Musk standing in a busy city street at night,0.8,7.5,s0.8_g7.5,0.2761,0.29,0.0139,0.052,0.059,0.007,0.4095
musk_00,Elon Musk standing in a busy city street at night,0.8,12.0,s0.8_g12,0.2761,0.2803,0.0042,0.052,0.0415,-0.0105,0.4501
musk_00,Elon Musk standing in a busy city street at night,0.9,12.0,s0.9_g12,0.2761,0.2743,-0.0017,0.052,0.0728,0.0207,0.5053
obama_00,Barack Obama standing on a snowy street,0.55,7.5,s0.55_g7.5,0.2762,0.2662,-0.0101,0.0915,0.0821,-0.0094,0.2783
obama_00,Barack Obama standing on a snowy street,0.7,7.5,s0.7_g7.5,0.2762,0.266,-0.0102,0.0915,0.0512,-0.0403,0.3845
obama_00,Barack Obama standing on a snowy street,0.8,7.5,s0.8_g7.5,0.2762,0.2875,0.0112,0.0915,0.1031,0.0116,0.5211
obama_00,Barack Obama standing on a snowy street,0.8,12.0,s0.8_g12,0.2762,0.2932,0.017,0.0915,0.0938,0.0023,0.555
obama_00,Barack Obama standing on a snowy street,0.9,12.0,s0.9_g12,0.2762,0.2846,0.0084,0.0915,0.1137,0.0222,0.6318
parrot_00,a parrot perched on a branch in a rainforest,0.55,7.5,s0.55_g7.5,0.2766,0.2928,0.0162,0.0776,0.0963,0.0186,0.3386
parrot_00,a parrot perched on a branch in a rainforest,0.7,7.5,s0.7_g7.5,0.2766,0.2924,0.0159,0.0776,0.1035,0.0259,0.3829
parrot_00,a parrot perched on a branch in a rainforest,0.8,7.5,s0.8_g7.5,0.2766,0.2992,0.0226,0.0776,0.1067,0.0291,0.4655
parrot_00,a parrot perched on a branch in a rainforest,0.8,12.0,s0.8_g12,0.2766,0.3038,0.0272,0.0776,0.1038,0.0262,0.5074
parrot_00,a parrot perched on a branch in a rainforest,0.9,12.0,s0.9_g12,0.2766,0.3274,0.0509,0.0776,0.1019,0.0243,0.5226
raccoon_00,a panda,0.55,7.5,s0.55_g7.5,0.2432,0.2889,0.0457,0.0466,0.1105,0.0638,0.5383
raccoon_00,a panda,0.7,7.5,s0.7_g7.5,0.2432,0.2902,0.047,0.0466,0.1161,0.0694,0.5893
raccoon_00,a panda,0.8,7.5,s0.8_g7.5,0.2432,0.3069,0.0638,0.0466,0.1213,0.0747,0.6031
raccoon_00,a panda,0.8,12.0,s0.8_g12,0.2432,0.298,0.0549,0.0466,0.1201,0.0735,0.632
raccoon_00,a panda,0.9,12.0,s0.9_g12,0.2432,0.3046,0.0614,0.0466,0.1138,0.0671,0.7312
ronaldo_00,Cristiano Ronaldo standing in a green forest,0.55,7.5,s0.55_g7.5,0.2772,0.304,0.0268,0.0686,0.0538,-0.0147,0.346
ronaldo_00,Cristiano Ronaldo standing in a green forest,0.7,7.5,s0.7_g7.5,0.2772,0.3037,0.0265,0.0686,0.0465,-0.0221,0.3928
ronaldo_00,Cristiano Ronaldo standing in a green forest,0.8,7.5,s0.8_g7.5,0.2772,0.3018,0.0246,0.0686,0.0537,-0.0148,0.4417
ronaldo_00,Cristiano Ronaldo standing in a green forest,0.8,12.0,s0.8_g12,0.2772,0.302,0.0248,0.0686,0.0532,-0.0154,0.4837
ronaldo_00,Cristiano Ronaldo standing in a green forest,0.9,12.0,s0.9_g12,0.2772,0.2962,0.019,0.0686,0.0486,-0.02,0.5498
shiba_00,a cat,0.55,7.5,s0.55_g7.5,0.225,0.2779,0.0529,0.0242,0.0887,0.0645,0.4743
shiba_00,a cat,0.7,7.5,s0.7_g7.5,0.225,0.2648,0.0398,0.0242,0.0892,0.065,0.5759
shiba_00,a cat,0.8,7.5,s0.8_g7.5,0.225,0.2619,0.0369,0.0242,0.0881,0.0639,0.6586
shiba_00,a cat,0.8,12.0,s0.8_g12,0.225,0.2616,0.0366,0.0242,0.0886,0.0644,0.6915
shiba_00,a cat,0.9,12.0,s0.9_g12,0.225,0.2673,0.0423,0.0242,0.0902,0.066,0.7263
trump_00,Donald Trump standing in a golden wheat field,0.55,7.5,s0.55_g7.5,0.2515,0.2509,-0.0006,0.0372,0.0361,-0.0012,0.3358
trump_00,Donald Trump standing in a golden wheat field,0.7,7.5,s0.7_g7.5,0.2515,0.2607,0.0092,0.0372,0.0446,0.0073,0.4265
trump_00,Donald Trump standing in a golden wheat field,0.8,7.5,s0.8_g7.5,0.2515,0.2493,-0.0022,0.0372,0.0366,-0.0007,0.5093
trump_00,Donald Trump standing in a golden wheat field,0.8,12.0,s0.8_g12,0.2515,0.2459,-0.0056,0.0372,0.0506,0.0133,0.5579
trump_00,Donald Trump standing in a golden wheat field,0.9,12.0,s0.9_g12,0.2515,0.2482,-0.0033,0.0372,0.06,0.0228,0.6405
