image,condition,attacker,instruction,task,radius,unreachable,pixel_gate_sigma,r_min,r_max,gl_iters,block,loss,gain_ratio,purify_aware,edit_steps,s_t,s_i,edit_seed,modified_from_paper,fid_lpips,fid_ssim,fid_psnr,fid_vif_p,fid_dists,edit_lpips,edit_ssim,edit_psnr,edit_vif_p,edit_dists,fid_linf,fid_rms,total_seconds
task_attr_mod_color_136767,phase,instruct-pix2pix,turn the color of astronaut to pink,,0.9,False,0.0,0.12,0.7,0,32,encoder_target,0.0,none,100,7.5,1.5,20260812,False,0.10447,0.97146,31.934,0.60944,0.04911,0.14894,0.90331,23.352,0.43305,0.08809,0.46632,0.02531,36.2
task_attr_mod_color_32648,phase,instruct-pix2pix,turn the color of potion bottle to orange,,0.9,False,0.0,0.12,0.7,0,32,encoder_target,0.0,none,100,7.5,1.5,20260812,False,0.08246,0.994,43.439,0.78422,0.02958,0.09701,0.94617,26.861,0.72198,0.08005,0.15404,0.00673,36.2
task_env_weather_112463,phase,instruct-pix2pix,transform the setting to spring with blooming flowers,,0.9,False,0.0,0.12,0.7,0,32,encoder_target,0.0,none,100,7.5,1.5,20260812,False,0.11761,0.97078,33.64,0.65965,0.01982,0.23664,0.81275,21.341,0.35869,0.11703,0.27921,0.0208,36.3
task_env_weather_181583,phase,instruct-pix2pix,change the setting to a stormy day,,0.9,False,0.0,0.12,0.7,0,32,encoder_target,0.0,none,100,7.5,1.5,20260812,False,0.13734,0.96553,34.416,0.65145,0.03096,0.28497,0.81437,19.615,0.47682,0.18032,0.19058,0.01902,36.4
task_env_weather_63722,phase,instruct-pix2pix,change the setting to a snowy landscape,,0.9,False,0.0,0.12,0.7,0,32,encoder_target,0.0,none,100,7.5,1.5,20260812,False,0.0879,0.97646,30.025,0.59312,0.04056,0.12482,0.91081,23.975,0.39037,0.05945,0.3943,0.03153,36.3
task_obj_add_340466,phase,instruct-pix2pix,Add orange juice,,0.9,False,0.0,0.12,0.7,0,32,encoder_target,0.0,none,100,7.5,1.5,20260812,False,0.06659,0.98202,33.302,0.69438,0.03082,0.15366,0.87806,18.172,0.50506,0.09604,0.31614,0.02162,36.3
task_obj_add_581286,phase,instruct-pix2pix,Add sauce,,0.9,False,0.0,0.12,0.7,0,32,encoder_target,0.0,none,100,7.5,1.5,20260812,False,0.06374,0.98544,38.819,0.79105,0.02452,0.09095,0.94206,31.832,0.65567,0.05121,0.30526,0.01146,36.3
task_obj_remove_10197,phase,instruct-pix2pix,Remove gravel path,,0.9,False,0.0,0.12,0.7,0,32,encoder_target,0.0,none,100,7.5,1.5,20260812,False,0.14378,0.96199,29.116,0.63601,0.03503,0.34968,0.54379,14.548,0.11437,0.21583,0.40821,0.03501,36.2
task_obj_remove_380621,phase,instruct-pix2pix,Remove iceberg,,0.9,False,0.0,0.12,0.7,0,32,encoder_target,0.0,none,100,7.5,1.5,20260812,False,0.11987,0.973,32.27,0.68922,0.05434,0.19005,0.83858,22.274,0.42409,0.08231,0.36959,0.02435,36.3
task_obj_remove_657585,phase,instruct-pix2pix,Remove frisbee,,0.9,False,0.0,0.12,0.7,0,32,encoder_target,0.0,none,100,7.5,1.5,20260812,False,0.04506,0.99015,40.904,0.85253,0.02222,0.1949,0.87388,22.497,0.71152,0.15399,0.13296,0.00901,36.3
task_obj_swap_joint_mask_533428,phase,instruct-pix2pix,Replace the samurai armor with red jacket,,0.9,False,0.0,0.12,0.7,0,32,encoder_target,0.0,none,100,7.5,1.5,20260812,False,0.12051,0.95609,28.577,0.55387,0.04266,0.19892,0.80926,20.525,0.36013,0.10604,0.45664,0.03725,36.3
task_obj_swap_rand_mask_298147,phase,instruct-pix2pix,Replace the wizard's robe with red shirt,,0.9,False,0.0,0.12,0.7,0,32,encoder_target,0.0,none,100,7.5,1.5,20260812,False,0.24236,0.93702,29.719,0.51825,0.07819,0.32779,0.70629,20.507,0.23937,0.12637,0.50659,0.03266,36.3
