image,condition,prompt_index,prompt,block,r_min,quantile,target_image,loss,random_start,budget_target,budget_mode,budget_reached,unreachable,radius,total_seconds,fid_lpips,fid_ssim,fid_dists,fid_psnr,fid_clip_img,fid_nima,fid_cnniqa,edit_lpips,edit_clip_orig,edit_clip_def,edit_clip_drop,edit_siglip_orig,edit_siglip_def,edit_siglip_drop,amp_dev,active_fraction
person_a_00,add,0,Barack Obama,32,0.12,0.5,data/targets/gray.png,latent,True,human,human,0.0159,False,0.00471,42.6,0.1999,0.997,0.0159,47.5693,0.996,5.3188,0.6389,0.37,0.2651,0.2868,-0.0218,0.1061,0.1162,-0.01,,
person_a_00,phase,0,Barack Obama,32,0.12,0.5,data/targets/gray.png,latent,True,human,human,0.06735,False,1.3,25.6,0.2038,0.9514,0.0673,30.9713,0.9863,5.0613,0.6185,0.3673,0.2651,0.2767,-0.0116,0.1061,0.1102,-0.0041,0.02118,0.3846
person_b_00,add,0,Morgan Freeman,32,0.12,0.5,data/targets/gray.png,latent,True,human,human,0.01123,False,0.00471,25.5,0.1605,0.9968,0.0112,47.5833,0.9966,4.7503,0.6577,0.3663,0.3042,0.307,-0.0028,0.1069,0.1167,-0.0099,,
person_b_00,phase,0,Morgan Freeman,32,0.12,0.5,data/targets/gray.png,latent,True,human,human,0.04934,False,1.3,25.8,0.2308,0.9492,0.0493,34.0127,0.9973,4.4554,0.6263,0.2669,0.3042,0.3026,0.0015,0.1069,0.1216,-0.0147,0.01628,0.4646
person_c_00,add,0,Taylor Swift,32,0.12,0.5,data/targets/gray.png,latent,True,human,human,0.00897,False,0.00471,25.8,0.0858,0.9978,0.009,47.4636,0.9971,5.0042,0.6506,0.1027,0.2826,0.2824,0.0002,0.0977,0.1016,-0.0039,,
person_c_00,phase,0,Taylor Swift,32,0.12,0.5,data/targets/gray.png,latent,True,human,human,0.07684,False,1.3,26.0,0.2503,0.8919,0.0768,29.7682,0.9871,4.8015,0.6407,0.1137,0.2826,0.2838,-0.0012,0.0977,0.1003,-0.0026,0.05587,0.563
cat_00,add,0,a cat wearing a red party hat,32,0.12,0.5,data/targets/gray.png,latent,True,human,human,0.00494,False,0.00471,42.0,0.1406,0.9986,0.0049,50.3319,0.9985,5.5399,0.7015,0.2883,0.3509,0.3343,0.0166,0.1549,0.1507,0.0042,,
cat_00,phase,0,a cat wearing a red party hat,32,0.12,0.5,data/targets/gray.png,latent,True,human,human,0.09809,False,1.3,25.0,0.1331,0.9574,0.0981,32.9577,0.9935,5.3202,0.615,0.1718,0.3509,0.3547,-0.0038,0.1549,0.163,-0.0081,0.01042,0.2933
shiba_00,add,0,a cat,32,0.12,0.5,data/targets/gray.png,latent,True,human,human,0.0073,False,0.00471,25.3,0.149,0.9966,0.0073,47.4995,0.9891,5.6623,0.7045,0.3299,0.2619,0.265,-0.0031,0.0881,0.0917,-0.0036,,
shiba_00,phase,0,a cat,32,0.12,0.5,data/targets/gray.png,latent,True,human,human,0.06139,False,1.3,25.6,0.1689,0.9343,0.0614,29.4771,0.9941,5.4078,0.6692,0.452,0.2619,0.2629,-0.001,0.0881,0.0892,-0.0012,0.02717,0.4645
parrot_00,add,0,a parrot perched on a branch in a rainforest,32,0.12,0.5,data/targets/gray.png,latent,True,human,human,0.01559,False,0.00471,42.2,0.2328,0.9958,0.0156,47.8936,0.9819,5.6742,0.6995,0.4023,0.2992,0.303,-0.0038,0.1067,0.0955,0.0113,,
parrot_00,phase,0,a parrot perched on a branch in a rainforest,32,0.12,0.5,data/targets/gray.png,latent,True,human,human,0.05882,False,1.3,25.5,0.1112,0.9655,0.0588,33.6309,0.9901,5.3377,0.6631,0.2546,0.2992,0.3188,-0.0196,0.1067,0.1024,0.0044,0.01187,0.3366
raccoon_00,add,0,a panda,32,0.12,0.5,data/targets/gray.png,latent,True,human,human,0.01269,False,0.00471,25.5,0.1374,0.997,0.0127,47.4421,0.9954,6.0787,0.7063,0.5875,0.3069,0.2949,0.0121,0.1213,0.1174,0.0039,,
raccoon_00,phase,0,a panda,32,0.12,0.5,data/targets/gray.png,latent,True,human,human,0.05305,False,1.3,25.8,0.1794,0.9204,0.0531,27.0003,0.9966,5.8293,0.7193,0.3102,0.3069,0.3039,0.003,0.1213,0.1219,-0.0006,0.04325,0.4693
