image,prompt,strength,guidance,tag,clip_orig,clip_edit,clip_gain,siglip_orig,siglip_edit,siglip_gain,lpips_vs_orig
cat_00,a cat wearing a red party hat,0.55,7.5,s0.55_g7.5,0.2577,0.2607,0.0029,0.0644,0.0485,-0.0159,0.1941
cat_00,a cat wearing a red party hat,0.7,7.5,s0.7_g7.5,0.2577,0.3703,0.1125,0.0644,0.1592,0.0948,0.2422
cat_00,a cat wearing a red party hat,0.8,7.5,s0.8_g7.5,0.2577,0.3509,0.0931,0.0644,0.1549,0.0906,0.2805
cat_00,a cat wearing a red party hat,0.8,12.0,s0.8_g12,0.2577,0.3604,0.1027,0.0644,0.1443,0.0799,0.284
cat_00,a cat wearing a red party hat,0.9,12.0,s0.9_g12,0.2577,0.3172,0.0594,0.0644,0.1486,0.0842,0.3366
parrot_00,a rooster,0.55,7.5,s0.55_g7.5,0.2384,0.3187,0.0803,0.0171,0.1114,0.0943,0.3936
parrot_00,a rooster,0.7,7.5,s0.7_g7.5,0.2384,0.3174,0.079,0.0171,0.1113,0.0941,0.4429
parrot_00,a rooster,0.8,7.5,s0.8_g7.5,0.2384,0.3162,0.0778,0.0171,0.1144,0.0973,0.4875
parrot_00,a rooster,0.8,12.0,s0.8_g12,0.2384,0.3133,0.0749,0.0171,0.117,0.0999,0.5126
parrot_00,a rooster,0.9,12.0,s0.9_g12,0.2384,0.3139,0.0755,0.0171,0.1109,0.0938,0.5252
person_a_00,Barack Obama wearing sunglasses,0.55,7.5,s0.55_g7.5,0.2033,0.3316,0.1283,0.0414,0.1261,0.0847,0.4594
person_a_00,Barack Obama wearing sunglasses,0.7,7.5,s0.7_g7.5,0.2033,0.3649,0.1615,0.0414,0.1501,0.1087,0.5279
person_a_00,Barack Obama wearing sunglasses,0.8,7.5,s0.8_g7.5,0.2033,0.3799,0.1765,0.0414,0.1487,0.1073,0.5886
person_a_00,Barack Obama wearing sunglasses,0.8,12.0,s0.8_g12,0.2033,0.3495,0.1462,0.0414,0.1369,0.0955,0.6047
person_a_00,Barack Obama wearing sunglasses,0.9,12.0,s0.9_g12,0.2033,0.3543,0.151,0.0414,0.1576,0.1161,0.6825
person_b_00,Morgan Freeman wearing a red beanie,0.55,7.5,s0.55_g7.5,0.1457,0.2405,0.0948,-0.0707,0.0514,0.122,0.5084
person_b_00,Morgan Freeman wearing a red beanie,0.7,7.5,s0.7_g7.5,0.1457,0.2455,0.0998,-0.0707,0.088,0.1587,0.5838
person_b_00,Morgan Freeman wearing a red beanie,0.8,7.5,s0.8_g7.5,0.1457,0.27,0.1243,-0.0707,0.1207,0.1914,0.6425
person_b_00,Morgan Freeman wearing a red beanie,0.8,12.0,s0.8_g12,0.1457,0.2654,0.1197,-0.0707,0.1179,0.1886,0.6683
person_b_00,Morgan Freeman wearing a red beanie,0.9,12.0,s0.9_g12,0.1457,0.2715,0.1258,-0.0707,0.1131,0.1838,0.6963
person_c_00,Oprah Winfrey wearing a blue baseball cap,0.55,7.5,s0.55_g7.5,0.0793,0.3073,0.228,-0.1685,0.0326,0.2011,0.5063
person_c_00,Oprah Winfrey wearing a blue baseball cap,0.7,7.5,s0.7_g7.5,0.0793,0.3699,0.2906,-0.1685,0.1492,0.3177,0.5917
person_c_00,Oprah Winfrey wearing a blue baseball cap,0.8,7.5,s0.8_g7.5,0.0793,0.3427,0.2634,-0.1685,0.1524,0.321,0.6458
person_c_00,Oprah Winfrey wearing a blue baseball cap,0.8,12.0,s0.8_g12,0.0793,0.346,0.2667,-0.1685,0.1396,0.3081,0.6632
person_c_00,Oprah Winfrey wearing a blue baseball cap,0.9,12.0,s0.9_g12,0.0793,0.312,0.2327,-0.1685,0.1132,0.2818,0.7436
raccoon_00,a panda holding a ball,0.55,7.5,s0.55_g7.5,0.214,0.3054,0.0914,-0.0023,0.0872,0.0895,0.5352
raccoon_00,a panda holding a ball,0.7,7.5,s0.7_g7.5,0.214,0.3668,0.1528,-0.0023,0.1476,0.1499,0.572
raccoon_00,a panda holding a ball,0.8,7.5,s0.8_g7.5,0.214,0.3588,0.1448,-0.0023,0.1542,0.1565,0.5961
raccoon_00,a panda holding a ball,0.8,12.0,s0.8_g12,0.214,0.3606,0.1466,-0.0023,0.1375,0.1398,0.6348
raccoon_00,a panda holding a ball,0.9,12.0,s0.9_g12,0.214,0.3487,0.1347,-0.0023,0.1466,0.1489,0.7151
shiba_00,a cat,0.55,7.5,s0.55_g7.5,0.225,0.2779,0.0529,0.0242,0.0887,0.0645,0.4743
shiba_00,a cat,0.7,7.5,s0.7_g7.5,0.225,0.2648,0.0398,0.0242,0.0892,0.065,0.5759
shiba_00,a cat,0.8,7.5,s0.8_g7.5,0.225,0.2619,0.0369,0.0242,0.0881,0.0639,0.6586
shiba_00,a cat,0.8,12.0,s0.8_g12,0.225,0.2616,0.0366,0.0242,0.0886,0.0644,0.6915
shiba_00,a cat,0.9,12.0,s0.9_g12,0.225,0.2673,0.0423,0.0242,0.0902,0.066,0.7263
