image,condition,attacker,instruction,task,radius,unreachable,pixel_gate_sigma,r_min,r_max,gl_iters,block,loss,gain_ratio,purify_aware,edit_steps,s_t,s_i,edit_seed,modified_from_paper,fid_lpips,fid_ssim,fid_psnr,fid_vif_p,fid_dists,edit_lpips,edit_ssim,edit_psnr,edit_vif_p,edit_dists,fid_linf,fid_rms,total_seconds
task_attr_mod_color_136767,phase,instruct-pix2pix,turn the color of astronaut to pink,,1.6,False,0.0,0.12,0.4,0,32,encoder_target,0.0,none,100,7.5,1.5,20260812,False,0.10138,0.94085,28.431,0.51303,0.08953,0.15314,0.88385,23.892,0.38367,0.0959,0.43009,0.03788,37.3
task_attr_mod_color_32648,phase,instruct-pix2pix,turn the color of potion bottle to orange,,1.6,False,0.0,0.12,0.4,0,32,encoder_target,0.0,none,100,7.5,1.5,20260812,False,0.0719,0.98772,40.052,0.6986,0.05234,0.10982,0.94211,24.913,0.67361,0.09154,0.21809,0.00994,37.9
task_env_weather_112463,phase,instruct-pix2pix,transform the setting to spring with blooming flowers,,1.6,False,0.0,0.12,0.4,0,32,encoder_target,0.0,none,100,7.5,1.5,20260812,False,0.14633,0.93098,30.226,0.55693,0.04377,0.21162,0.80747,22.601,0.34169,0.08559,0.35018,0.03081,38.6
task_env_weather_181583,phase,instruct-pix2pix,change the setting to a stormy day,,1.6,False,0.0,0.12,0.4,0,32,encoder_target,0.0,none,100,7.5,1.5,20260812,False,0.15503,0.91473,30.686,0.53425,0.04481,0.2118,0.83139,21.908,0.4868,0.10567,0.24319,0.02922,38.7
task_env_weather_63722,phase,instruct-pix2pix,change the setting to a snowy landscape,,1.6,False,0.0,0.12,0.4,0,32,encoder_target,0.0,none,100,7.5,1.5,20260812,False,0.07967,0.94897,26.93,0.50758,0.0704,0.12885,0.89018,22.937,0.35178,0.0753,0.50698,0.04503,38.6
task_obj_add_340466,phase,instruct-pix2pix,Add orange juice,,1.6,False,0.0,0.12,0.4,0,32,encoder_target,0.0,none,100,7.5,1.5,20260812,False,0.06496,0.96479,30.522,0.62789,0.06353,0.15709,0.86919,18.201,0.48032,0.10746,0.41478,0.02978,38.6
task_obj_add_581286,phase,instruct-pix2pix,Add sauce,,1.6,False,0.0,0.12,0.4,0,32,encoder_target,0.0,none,100,7.5,1.5,20260812,False,0.06956,0.96951,35.723,0.70701,0.04242,0.10473,0.92947,31.198,0.59755,0.05809,0.37727,0.01636,38.7
task_obj_remove_10197,phase,instruct-pix2pix,Remove gravel path,,1.6,False,0.0,0.12,0.4,0,32,encoder_target,0.0,none,100,7.5,1.5,20260812,False,0.09428,0.9362,27.238,0.58977,0.06071,0.31489,0.57574,15.787,0.12153,0.21126,0.49914,0.04346,38.5
task_obj_remove_380621,phase,instruct-pix2pix,Remove iceberg,,1.6,False,0.0,0.12,0.4,0,32,encoder_target,0.0,none,100,7.5,1.5,20260812,False,0.09219,0.94989,30.097,0.61886,0.07754,0.17545,0.83229,21.979,0.39231,0.08058,0.48089,0.03127,38.7
task_obj_remove_657585,phase,instruct-pix2pix,Remove frisbee,,1.6,False,0.0,0.12,0.4,0,32,encoder_target,0.0,none,100,7.5,1.5,20260812,False,0.06022,0.97904,37.693,0.78663,0.04429,0.22163,0.86645,22.086,0.66618,0.17851,0.17835,0.01304,38.8
task_obj_swap_joint_mask_533428,phase,instruct-pix2pix,Replace the samurai armor with red jacket,,1.6,False,0.0,0.12,0.4,0,32,encoder_target,0.0,none,100,7.5,1.5,20260812,False,0.10899,0.90878,25.345,0.45992,0.07562,0.19021,0.82528,21.72,0.36406,0.10556,0.53861,0.05405,38.8
task_obj_swap_rand_mask_298147,phase,instruct-pix2pix,Replace the wizard's robe with red shirt,,1.6,False,0.0,0.12,0.4,0,32,encoder_target,0.0,none,100,7.5,1.5,20260812,False,0.21643,0.88313,26.786,0.42014,0.12418,0.32856,0.68366,19.876,0.22228,0.14197,0.565,0.04578,38.6
