image,condition,src,analysis_block,analysis_hop,rms,phase_share,energy_mag,energy_phase,block_gini,top10_block_share,hf_share,peak_ratio_8,peak_ratio_32
task_attr_mod_color_11699,comp_r20,runs/ip2p_floor_gate/comp_r20,32,8,0.058032,0.3011,2423.1128,1043.9813,0.5399,0.416,0.5963,1.026,0.325
task_attr_mod_color_136767,comp_r20,runs/ip2p_floor_gate/comp_r20,32,8,0.052724,0.2964,1916.6741,807.4406,0.4855,0.3414,0.5987,1.209,1.09
task_attr_mod_color_184837,comp_r20,runs/ip2p_floor_gate/comp_r20,32,8,0.082502,0.351,4529.2539,2449.7947,0.3876,0.2175,0.5125,1.223,1.817
task_attr_mod_color_32648,comp_r20,runs/ip2p_floor_gate/comp_r20,32,8,0.027712,0.1282,612.4544,90.0445,0.4305,0.4089,0.8361,1.549,1.298
task_attr_mod_color_6205,comp_r20,runs/ip2p_floor_gate/comp_r20,32,8,0.04378,0.2722,1357.4087,507.5606,0.448,0.3586,0.6634,0.958,1.17
task_env_weather_112463,comp_r20,runs/ip2p_floor_gate/comp_r20,32,8,0.042091,0.2092,1373.7385,363.5189,0.3352,0.262,0.6199,0.904,0.806
task_env_weather_246440,comp_r20,runs/ip2p_floor_gate/comp_r20,32,8,0.094438,0.418,5556.7603,3991.3413,0.4331,0.2662,0.5601,1.183,1.457
task_env_weather_63722,comp_r20,runs/ip2p_floor_gate/comp_r20,32,8,0.061874,0.3323,2611.281,1299.6814,0.5774,0.4179,0.5152,0.989,1.398
task_obj_add_40931,comp_r20,runs/ip2p_floor_gate/comp_r20,32,8,0.058793,0.2915,2433.49,1001.3809,0.3014,0.2332,0.5305,0.99,1.212
task_obj_remove_380621,comp_r20,runs/ip2p_floor_gate/comp_r20,32,8,0.052228,0.3959,1652.9341,1083.4113,0.5845,0.5062,0.7436,1.471,1.07
task_obj_swap_joint_mask_276754,comp_r20,runs/ip2p_floor_gate/comp_r20,32,8,0.066686,0.3577,2775.147,1545.809,0.3829,0.3013,0.8021,1.278,1.436
task_obj_swap_joint_mask_533428,comp_r20,runs/ip2p_floor_gate/comp_r20,32,8,0.069893,0.3169,3453.6611,1601.9033,0.423,0.2802,0.5264,0.906,0.702
task_obj_swap_rand_mask_417469,comp_r20,runs/ip2p_floor_gate/comp_r20,32,8,0.05849,0.3441,2289.6162,1201.4158,0.4883,0.365,0.6776,1.151,1.801
task_attr_mod_color_11699,wat_r20,runs/ip2p_floor_gate/wat_r20,32,8,0.06319,0.3144,2934.4902,1345.8018,0.5821,0.4231,0.4925,0.761,0.288
task_attr_mod_color_136767,wat_r20,runs/ip2p_floor_gate/wat_r20,32,8,0.062734,0.321,2714.8181,1283.318,0.5315,0.3373,0.5632,0.885,0.44
task_attr_mod_color_184837,wat_r20,runs/ip2p_floor_gate/wat_r20,32,8,0.090927,0.3597,5650.7383,3174.2954,0.4417,0.2273,0.4683,1.174,1.621
task_attr_mod_color_32648,wat_r20,runs/ip2p_floor_gate/wat_r20,32,8,0.037857,0.1099,1137.9489,140.5617,0.6928,0.6375,0.8679,0.852,0.636
task_attr_mod_color_6205,wat_r20,runs/ip2p_floor_gate/wat_r20,32,8,0.046716,0.3027,1545.8368,671.1312,0.5208,0.4057,0.5966,1.048,1.677
task_env_weather_112463,wat_r20,runs/ip2p_floor_gate/wat_r20,32,8,0.044202,0.2437,1499.4794,483.0511,0.3561,0.2973,0.5289,0.961,0.561
task_env_weather_246440,wat_r20,runs/ip2p_floor_gate/wat_r20,32,8,0.09932,0.4422,6197.9717,4913.4453,0.4917,0.2864,0.4911,1.214,2.194
task_env_weather_63722,wat_r20,runs/ip2p_floor_gate/wat_r20,32,8,0.067921,0.3223,3306.5449,1572.5875,0.6267,0.4357,0.4479,0.958,1.35
task_obj_add_40931,wat_r20,runs/ip2p_floor_gate/wat_r20,32,8,0.066344,0.3007,3186.175,1370.1936,0.3655,0.2561,0.4436,1.001,1.17
task_obj_remove_380621,wat_r20,runs/ip2p_floor_gate/wat_r20,32,8,0.054432,0.4189,1802.4875,1299.509,0.6328,0.5433,0.6884,1.833,1.493
task_obj_swap_joint_mask_276754,wat_r20,runs/ip2p_floor_gate/wat_r20,32,8,0.072835,0.3565,3319.8201,1838.9276,0.4756,0.3518,0.7956,1.588,1.885
task_obj_swap_joint_mask_533428,wat_r20,runs/ip2p_floor_gate/wat_r20,32,8,0.073676,0.334,3899.1936,1955.1489,0.4633,0.3014,0.4531,0.979,0.555
task_obj_swap_rand_mask_417469,wat_r20,runs/ip2p_floor_gate/wat_r20,32,8,0.063398,0.3567,2729.0979,1513.3115,0.5731,0.4012,0.6357,1.138,1.677
task_attr_mod_color_11699,b_pg_r20,runs/ip2p_axis_necessity/b_pg_r20,32,8,0.059718,0.2967,2567.8164,1083.3805,0.5962,0.4479,0.6143,0.953,0.727
