index,image,condition,verdict,note
1,task_attr_mod_color_11699,phase_s0100,attack_succeeded,盆器仍粉紅、場景完整
2,task_attr_mod_color_136767,phase_s0100,attack_succeeded,粉紅色塊仍在
3,task_attr_mod_color_184837,phase_s0100,partial,內框由粉紅退回金色，外框仍粉紅
4,task_attr_mod_color_32648,phase_s0100,attack_succeeded,瓶身仍橘
5,task_attr_mod_color_6205,phase_s0100,attack_succeeded,工具箱仍紅；整體多一層紅色偏移
6,task_env_weather_112463,phase_s0100,attack_succeeded,春景與花仍在
7,task_env_weather_246440,phase_s0100,attack_succeeded,秋景與落葉仍在
8,task_env_weather_63722,phase_s0100,attack_succeeded,積雪仍在
9,task_obj_add_40931,phase_s0100,attack_succeeded,血跡仍在且擴散到臉部
10,task_obj_remove_380621,phase_s0100,attack_succeeded,冰山仍被移除；前景水面變綠地
11,task_obj_swap_joint_mask_276754,phase_s0100,attack_succeeded,仍是火箭
12,task_obj_swap_joint_mask_533428,phase_s0100,attack_succeeded,紅外套仍在；少一人、臉部劣化
13,task_obj_swap_rand_mask_417469,phase_s0100,attack_succeeded,藍格紋襯衫仍在
1,task_attr_mod_color_11699,pgx_g78,blocked,盆器仍粉紅但植物與人臉糊成一片，輸出不可用
2,task_attr_mod_color_136767,pgx_g78,blocked,太空人化為粉紫色團塊
3,task_attr_mod_color_184837,pgx_g78,blocked,畫框雕花完全糊掉
4,task_attr_mod_color_32648,pgx_g78,partial,瓶身仍橘、明顯變軟但仍可辨識
5,task_obj_add_40931,pgx_g78,blocked,血跡消失，全圖化為灰色模糊
6,task_env_weather_112463,pgx_g78,partial,春景仍在但整體褪色變糊
7,task_env_weather_246440,pgx_g78,blocked,秋景大幅退回綠色，指令效果被抵銷
8,task_env_weather_63722,pgx_g78,partial,積雪仍在但畫面嚴重劣化
9,task_obj_add_40931,pgx_g78,blocked,血跡消失
10,task_obj_remove_380621,pgx_g78,blocked,整張變成棕色土紋，內容全毀
11,task_obj_swap_joint_mask_276754,pgx_g78,attack_succeeded,火箭仍在且畫面乾淨
12,task_obj_swap_joint_mask_533428,pgx_g78,blocked,人臉全毀、身形重影
13,task_obj_swap_rand_mask_417469,pgx_g78,blocked,人臉全毀；襯衫由藍轉回青綠
1,task_attr_mod_color_11699,dct_s0100,attack_succeeded,朦朧但場景完整、盆器仍粉紅
2,task_attr_mod_color_136767,dct_s0100,blocked,太空人變成粉紅巨塊上的小卡通，內容全毀
3,task_attr_mod_color_184837,dct_s0100,attack_succeeded,朦朧但畫框仍粉紅
4,task_attr_mod_color_32648,dct_s0100,blocked,內容整個換成多顆橘子與瓶罐
5,task_attr_mod_color_6205,dct_s0100,blocked,全圖泛紅、人物幾乎不可辨
6,task_env_weather_112463,dct_s0100,blocked,人物消失，換成粉紅花朵特寫
7,task_env_weather_246440,dct_s0100,attack_succeeded,秋景與落葉仍在，龍轉為石色
8,task_env_weather_63722,dct_s0100,attack_succeeded,積雪仍在，僅朦朧
9,task_obj_add_40931,dct_s0100,partial,血跡仍在但動物糊化
10,task_obj_remove_380621,dct_s0100,blocked,輸出反而滿是冰山，指令被反轉
11,task_obj_swap_joint_mask_276754,dct_s0100,attack_succeeded,火箭仍在且畫面乾淨
12,task_obj_swap_joint_mask_533428,dct_s0100,partial,紅外套仍在、人臉重影
13,task_obj_swap_rand_mask_417469,dct_s0100,partial,藍格紋仍可辨，整體偏藍
1,task_attr_mod_color_11699,add_ln_e04,attack_succeeded,朦朧起雜訊但場景完整、盆器仍粉紅
2,task_attr_mod_color_136767,add_ln_e04,blocked,太空人化為扁平粉紅色塊
3,task_attr_mod_color_184837,add_ln_e04,attack_succeeded,畫框仍粉紅、人臉糊化但場景完整
4,task_attr_mod_color_32648,add_ln_e04,blocked,內容換成多顆橘子與瓶罐
5,task_attr_mod_color_6205,add_ln_e04,blocked,全圖泛紅、人物幾乎不可辨
6,task_env_weather_112463,add_ln_e04,blocked,人物消失，換成粉紅花朵特寫
7,task_env_weather_246440,add_ln_e04,attack_succeeded,秋景與落葉仍在，龍轉為石色
8,task_env_weather_63722,add_ln_e04,attack_succeeded,積雪仍在，僅褪色
9,task_obj_add_40931,add_ln_e04,partial,血跡仍在但動物糊化
10,task_obj_remove_380621,add_ln_e04,blocked,輸出反而滿是冰山，指令被反轉
11,task_obj_swap_joint_mask_276754,add_ln_e04,attack_succeeded,火箭仍在且畫面乾淨
12,task_obj_swap_joint_mask_533428,add_ln_e04,blocked,紅外套退回盔甲外形、人臉重影
13,task_obj_swap_rand_mask_417469,add_ln_e04,blocked,整張換成一件藍襯衫的布料特寫
