image,condition,prompt_index,prompt,block,r_min,quantile,target_image,loss,random_start,budget_target,budget_mode,budget_reached,unreachable,radius,total_seconds,fid_lpips,fid_ssim,fid_dists,fid_psnr,fid_clip_img,fid_nima,fid_cnniqa,edit_lpips,edit_clip_orig,edit_clip_def,edit_clip_drop,edit_siglip_orig,edit_siglip_def,edit_siglip_drop,amp_dev,active_fraction
person_a_00,add,0,Barack Obama,32,0.12,0.5,data/targets/gray.png,clip,True,human,human,0.01756,False,0.00471,31.9,0.0569,0.9962,0.0176,47.8029,0.2966,5.2348,0.6434,0.0974,0.2651,0.2645,0.0005,0.1061,0.1074,-0.0013,,
person_a_00,phase,0,Barack Obama,32,0.12,0.5,data/targets/gray.png,clip,True,human,human,0.07233,False,1.3,14.5,0.1122,0.955,0.0723,31.1988,0.3807,5.0045,0.5621,0.0727,0.2651,0.2639,0.0012,0.1061,0.1089,-0.0028,0.022,0.3846
person_b_00,add,0,Morgan Freeman,32,0.12,0.5,data/targets/gray.png,clip,True,human,human,0.02438,False,0.00471,13.2,0.0452,0.9957,0.0244,47.6101,0.2079,4.6494,0.6582,0.2305,0.3042,0.3103,-0.0061,0.1069,0.1098,-0.0029,,
person_b_00,phase,0,Morgan Freeman,32,0.12,0.5,data/targets/gray.png,clip,True,human,human,0.0535,False,1.3,14.4,0.1092,0.955,0.0535,34.2028,0.2185,4.5972,0.6178,0.1892,0.3042,0.3037,0.0005,0.1069,0.1137,-0.0068,0.01612,0.4646
person_c_00,add,0,Taylor Swift,32,0.12,0.5,data/targets/gray.png,clip,True,human,human,0.01252,False,0.00471,14.4,0.0186,0.9969,0.0125,47.7212,0.2787,4.9554,0.656,0.0171,0.2826,0.2841,-0.0015,0.0977,0.0994,-0.0018,,
person_c_00,phase,0,Taylor Swift,32,0.12,0.5,data/targets/gray.png,clip,True,human,human,0.07366,False,1.3,14.6,0.1505,0.9175,0.0737,30.7279,0.2792,4.7074,0.6493,0.0767,0.2826,0.282,0.0006,0.0977,0.0979,-0.0002,0.05305,0.563
cat_00,add,0,a cat wearing a red party hat,32,0.12,0.5,data/targets/gray.png,clip,True,human,human,0.00992,False,0.00471,31.8,0.0379,0.9986,0.0099,50.8327,0.5296,5.5353,0.7029,0.0838,0.3509,0.349,0.0019,0.1549,0.1487,0.0062,,
cat_00,phase,0,a cat wearing a red party hat,32,0.12,0.5,data/targets/gray.png,clip,True,human,human,0.08393,False,1.3,14.4,0.0578,0.9676,0.0839,33.8461,0.3581,5.3779,0.6297,0.0601,0.3509,0.3625,-0.0116,0.1549,0.1543,0.0006,0.0097,0.2933
shiba_00,add,0,a cat,32,0.12,0.5,data/targets/gray.png,clip,True,human,human,0.00481,False,0.00471,13.0,0.0362,0.996,0.0048,47.6163,0.5786,5.6167,0.7061,0.0576,0.2619,0.2625,-0.0006,0.0881,0.0889,-0.0009,,
shiba_00,phase,0,a cat,32,0.12,0.5,data/targets/gray.png,clip,True,human,human,0.07302,False,1.3,14.4,0.0904,0.9419,0.073,29.8555,0.2718,5.3116,0.6743,0.3092,0.2619,0.262,-0.0001,0.0881,0.0879,0.0002,0.02687,0.4645
parrot_00,add,0,a parrot perched on a branch in a rainforest,32,0.12,0.5,data/targets/gray.png,clip,True,human,human,0.02275,False,0.00471,32.2,0.1137,0.9952,0.0227,48.612,0.4367,5.5416,0.6993,0.1368,0.2992,0.3002,-0.001,0.1067,0.1074,-0.0006,,
parrot_00,phase,0,a parrot perched on a branch in a rainforest,32,0.12,0.5,data/targets/gray.png,clip,True,human,human,0.05946,False,1.3,14.4,0.0713,0.9677,0.0595,33.5785,0.5003,5.3022,0.6289,0.0367,0.2992,0.2967,0.0025,0.1067,0.1068,-0.0001,0.01201,0.3366
raccoon_00,add,0,a panda,32,0.12,0.5,data/targets/gray.png,clip,True,human,human,0.01216,False,0.00471,13.0,0.072,0.9969,0.0122,47.7746,0.4898,6.0675,0.7065,0.0329,0.3069,0.3051,0.0018,0.1213,0.1213,0.0,,
raccoon_00,phase,0,a panda,32,0.12,0.5,data/targets/gray.png,clip,True,human,human,0.04767,False,1.3,14.5,0.0907,0.93,0.0477,27.3759,0.0966,5.63,0.7146,0.2245,0.3069,0.3,0.007,0.1213,0.1211,0.0002,0.04132,0.4693
