image,condition,prompt_index,prompt,block,r_min,quantile,target_image,budget_target,budget_mode,budget_reached,unreachable,radius,total_seconds,fid_lpips,fid_ssim,fid_dists,fid_psnr,fid_clip_img,fid_nima,fid_cnniqa,edit_strength,edit_lpips,edit_clip_orig,edit_clip_def,edit_clip_drop,edit_siglip_orig,edit_siglip_def,edit_siglip_drop,amp_dev,active_fraction
cat_00,add,0,a cat wearing a red party hat,32,0.12,0.5,data/targets/gray.png,human,human,0.00863,False,0.00471,41.7,0.0696,0.9987,0.0086,51.1887,0.9969,5.5313,0.7052,0.7,0.182,0.3703,0.3582,0.0121,0.1592,0.1588,0.0003,,
cat_00,phase,0,a cat wearing a red party hat,32,0.12,0.5,data/targets/gray.png,human,human,0.04801,False,1.3,25.2,0.1263,0.9744,0.048,34.984,0.9951,5.4336,0.6296,0.7,0.2673,0.3703,0.3499,0.0203,0.1592,0.1453,0.0138,0.00847,0.2933
cat_00,phase_rand,0,a cat wearing a red party hat,32,0.12,0.5,data/targets/gray.png,human,human,0.05773,False,1.3,10.8,0.0423,0.9775,0.0577,35.5952,0.9943,5.2554,0.6195,0.7,0.0953,0.3703,0.3263,0.044,0.1592,0.1001,0.059,0.0087,0.2933
parrot_00,add,0,a rooster,32,0.12,0.5,data/targets/gray.png,human,human,0.01512,False,0.00471,25.4,0.2493,0.9968,0.0151,48.4222,0.9835,5.6645,0.7008,0.7,0.1815,0.3174,0.323,-0.0057,0.1113,0.1167,-0.0055,,
parrot_00,phase,0,a rooster,32,0.12,0.5,data/targets/gray.png,human,human,0.02811,False,1.3,25.6,0.1012,0.9776,0.0281,35.8217,0.994,5.458,0.6727,0.7,0.1898,0.3174,0.32,-0.0026,0.1113,0.1127,-0.0014,0.00936,0.3366
parrot_00,phase_rand,0,a rooster,32,0.12,0.5,data/targets/gray.png,human,human,0.03555,False,1.3,11.0,0.0485,0.9791,0.0356,36.1002,0.9943,5.1678,0.6693,0.7,0.0384,0.3174,0.3154,0.002,0.1113,0.1116,-0.0003,0.0098,0.3366
person_a_00,add,0,Barack Obama wearing sunglasses,32,0.12,0.5,data/targets/gray.png,human,human,0.00792,False,0.00471,25.6,0.2597,0.9975,0.0079,47.7684,0.9993,5.3333,0.6426,0.7,0.4384,0.3649,0.3345,0.0303,0.1501,0.1419,0.0082,,
person_a_00,phase,0,Barack Obama wearing sunglasses,32,0.12,0.5,data/targets/gray.png,human,human,0.03698,False,1.3,25.8,0.2053,0.9742,0.037,33.2708,0.993,4.8937,0.6193,0.7,0.5828,0.3649,0.3672,-0.0023,0.1501,0.1477,0.0025,0.01752,0.3846
person_a_00,phase_rand,0,Barack Obama wearing sunglasses,32,0.12,0.5,data/targets/gray.png,human,human,0.04821,False,1.3,11.1,0.0666,0.9755,0.0482,34.2234,0.9964,4.9944,0.5889,0.7,0.0599,0.3649,0.3634,0.0015,0.1501,0.1507,-0.0006,0.01558,0.3846
person_b_00,add,0,Morgan Freeman wearing a red bow tie,32,0.12,0.5,data/targets/gray.png,human,human,0.01094,False,0.00471,25.5,0.2176,0.9972,0.0109,47.7435,0.9983,4.7472,0.6578,0.7,0.2835,0.3155,0.3195,-0.004,0.1167,0.1284,-0.0116,,
person_b_00,phase,0,Morgan Freeman wearing a red bow tie,32,0.12,0.5,data/targets/gray.png,human,human,0.03266,False,1.3,25.7,0.2632,0.9681,0.0327,35.8894,0.998,4.4749,0.6158,0.7,0.5573,0.3155,0.2747,0.0408,0.1167,0.1121,0.0046,0.01344,0.4646
person_b_00,phase_rand,0,Morgan Freeman wearing a red bow tie,32,0.12,0.5,data/targets/gray.png,human,human,0.03125,False,1.3,11.0,0.0678,0.9741,0.0313,37.0088,0.9989,4.5748,0.6079,0.7,0.0799,0.3155,0.3317,-0.0162,0.1167,0.1193,-0.0025,0.01272,0.4646
person_c_00,add,0,Oprah Winfrey wearing a blue baseball cap,32,0.12,0.5,data/targets/gray.png,human,human,0.00585,False,0.00471,25.6,0.1347,0.9981,0.0059,47.3739,0.9988,5.0064,0.6581,0.7,0.1785,0.3699,0.3758,-0.0059,0.1492,0.1808,-0.0316,,
person_c_00,phase,0,Oprah Winfrey wearing a blue baseball cap,32,0.12,0.5,data/targets/gray.png,human,human,0.03975,False,1.3,25.8,0.1944,0.9444,0.0398,32.722,0.9955,4.8173,0.652,0.7,0.3299,0.3699,0.37,-0.0001,0.1492,0.1432,0.0059,0.0452,0.563
