image,instruction,clip_orig,clip_edit,clip_gain,siglip_orig,siglip_edit,siglip_gain,pixel_lpips,edit_steps,s_t,s_i,edit_seed,seconds
task_attr_mod_color_144146,turn the color of book to be orange,0.2232,0.28531,0.06211,0.02428,0.11651,0.09223,0.45108,100,7.5,1.5,20260812,79.1
task_attr_mod_color_41275,turn the color of a studded backpack to purple,0.28757,0.34656,0.059,0.12366,0.16009,0.03643,0.16232,100,7.5,1.5,20260812,69.5
task_env_weather_114555,change the setting to a misty scene,0.20291,0.22059,0.01769,0.00938,0.01487,0.00549,0.26202,100,7.5,1.5,20260812,71.7
task_env_weather_193600,change the setting to a snowy scene,0.21104,0.21071,-0.00034,-0.00356,0.00879,0.01235,0.21198,100,7.5,1.5,20260812,71.8
task_env_weather_70149,change the setting to a foggy scene,0.21401,0.23925,0.02524,0.03465,0.04681,0.01217,0.36724,100,7.5,1.5,20260812,72.1
task_obj_add_345721,Add sunset,0.20764,0.22848,0.02083,0.02029,0.04094,0.02065,0.29252,100,7.5,1.5,20260812,72.0
task_obj_add_583252,Add person in red attire,0.19054,0.23256,0.04201,0.02247,0.06724,0.04477,0.40462,100,7.5,1.5,20260812,72.1
task_obj_remove_108877,Remove hunter's coat,0.28396,0.28078,-0.00318,0.02488,0.03541,0.01053,0.16779,100,7.5,1.5,20260812,72.2
task_obj_remove_385207,Remove the flagpole,0.19981,0.20383,0.00402,-0.02099,0.02028,0.04127,0.59845,100,7.5,1.5,20260812,72.2
task_obj_remove_704852,Remove truck,0.2288,0.18631,-0.04249,0.07353,0.02157,-0.05196,0.23421,100,7.5,1.5,20260812,72.1
task_obj_swap_joint_mask_615817,Replace the twilight skyline with sky,0.23576,0.2732,0.03744,0.05523,0.1014,0.04616,0.50866,100,7.5,1.5,20260812,72.7
task_obj_swap_rand_mask_303550,Replace the steampunk jacket with silver jacket,0.24192,0.26367,0.02175,0.06875,0.11462,0.04587,0.61027,100,7.5,1.5,20260812,72.5
