image,instruction,clip_orig,clip_edit,clip_gain,siglip_orig,siglip_edit,siglip_gain,pixel_lpips,edit_steps,s_t,s_i,edit_seed,seconds
task_env_weather_146611,change the setting to spring with blooming trees,0.18461,0.20961,0.025,0.00397,0.02504,0.02107,0.26623,100,7.5,1.5,20260812,32.0
task_env_weather_150522,change the setting to fall with colorful leaves,0.16868,0.29352,0.12484,0.01331,0.08875,0.07545,0.57789,100,7.5,1.5,20260812,21.8
task_env_weather_165714,change the setting to a foggy day,0.1925,0.20572,0.01322,0.01402,0.03223,0.01821,0.16572,100,7.5,1.5,20260812,22.2
task_env_weather_193600,change the setting to a snowy scene,0.21104,0.21071,-0.00034,-0.00356,0.00879,0.01235,0.21198,100,7.5,1.5,20260812,22.4
task_env_weather_195273,transform the setting to fall with colorful leaves,0.19015,0.25496,0.06481,-0.02351,0.04313,0.06664,0.32004,100,7.5,1.5,20260812,22.5
task_env_weather_217577,change the setting to a foggy scene,0.19233,0.22716,0.03483,0.03081,0.03499,0.00418,0.41874,100,7.5,1.5,20260812,22.7
task_env_weather_226185,change the setting to spring with blooming flowers,0.15924,0.19849,0.03925,-0.04847,-0.0136,0.03487,0.27136,100,7.5,1.5,20260812,22.8
task_env_weather_231482,change the setting to a snowy scene,0.17499,0.19484,0.01985,-0.01134,0.00185,0.01319,0.28177,100,7.5,1.5,20260812,22.9
task_env_weather_262001,change the setting to a snowy scene,0.17278,0.18385,0.01107,-0.0276,-0.01363,0.01397,0.29473,100,7.5,1.5,20260812,23.0
task_env_weather_39740,change the setting to a misty scene,0.18731,0.25658,0.06927,-0.01427,0.03777,0.05204,0.38435,100,7.5,1.5,20260812,23.1
task_env_weather_52051,change the setting to a snowy scene,0.17026,0.18939,0.01913,-0.01859,-0.00516,0.01343,0.3516,100,7.5,1.5,20260812,23.1
task_env_weather_59863,change the setting to a snowy scene,0.2062,0.24709,0.04088,-0.0042,0.06581,0.07001,0.36671,100,7.5,1.5,20260812,23.1
task_env_weather_61151,change the setting to a summer day,0.2169,0.21927,0.00238,0.02404,0.03703,0.01298,0.2366,100,7.5,1.5,20260812,23.0
task_env_weather_70149,change the setting to a foggy scene,0.21401,0.23925,0.02524,0.03465,0.04681,0.01217,0.36724,100,7.5,1.5,20260812,23.1
task_env_weather_85610,change the setting to a cloudy day,0.19593,0.19925,0.00332,-0.00499,0.01446,0.01945,0.33758,100,7.5,1.5,20260812,23.1
task_env_weather_86691,transform the setting to spring with blooming flowers,0.2218,0.26211,0.04031,-0.00289,0.03989,0.04278,0.31354,100,7.5,1.5,20260812,23.0
