image,condition,attacker,instruction,task,radius,unreachable,pixel_gate_sigma,edit_steps,s_t,s_i,edit_seed,modified_from_paper,fid_lpips,fid_ssim,fid_psnr,fid_vif_p,fid_dists,edit_lpips,edit_ssim,edit_psnr,edit_vif_p,edit_dists,fid_linf,fid_rms,total_seconds
task_attr_mod_color_11699,phase,instruct-pix2pix,turn the color of potted plant to pink,,1.27,False,0.0,100,7.5,1.5,20260812,False,0.1032,0.97183,29.152,0.59555,0.03489,0.13877,0.90082,22.864,0.44262,0.07066,0.48102,0.03486,123.0
task_attr_mod_color_158070,phase,instruct-pix2pix,turn the color of playing card to red,,1.27,False,0.0,100,7.5,1.5,20260812,False,0.16243,0.96312,29.583,0.56747,0.05745,0.1896,0.75987,21.824,0.46071,0.12136,0.39889,0.03318,123.5
task_attr_mod_color_234404,phase,instruct-pix2pix,turn the color of grizzly bear to be white,,1.27,False,0.0,100,7.5,1.5,20260812,False,0.21752,0.94991,32.676,0.59278,0.08035,0.5301,0.66368,13.166,0.40652,0.23145,0.27921,0.02324,124.1
task_attr_mod_color_6205,phase,instruct-pix2pix,turn the color of toolbox to red,,1.27,False,0.0,100,7.5,1.5,20260812,False,0.10804,0.96938,32.291,0.63873,0.07446,0.22884,0.80604,16.072,0.50974,0.14272,0.41679,0.02429,124.4
task_env_weather_116980,phase,instruct-pix2pix,transform the setting to a foggy atmosphere,,1.27,False,0.0,100,7.5,1.5,20260812,False,0.29583,0.93605,29.019,0.49146,0.05454,0.47946,0.60419,14.253,0.38449,0.37071,0.39302,0.03541,124.5
task_env_weather_150522,phase,instruct-pix2pix,change the setting to fall with colorful leaves,,1.27,False,0.0,100,7.5,1.5,20260812,False,0.339,0.88881,19.793,0.36088,0.06792,0.54493,0.42739,14.001,0.09842,0.256,0.86993,0.10241,124.4
task_env_weather_246440,phase,instruct-pix2pix,transform the setting to autumn with falling leaves,,1.27,False,0.0,100,7.5,1.5,20260812,False,0.23806,0.90447,21.748,0.44558,0.06879,0.36009,0.58985,17.474,0.19268,0.16393,0.69758,0.08177,124.5
task_env_weather_85610,phase,instruct-pix2pix,change the setting to a cloudy day,,1.27,False,0.0,100,7.5,1.5,20260812,False,0.13376,0.96019,29.778,0.53274,0.05687,0.46193,0.58373,15.582,0.3276,0.43182,0.41403,0.03244,124.6
task_obj_add_24380,phase,instruct-pix2pix,Add flag,,1.27,False,0.0,100,7.5,1.5,20260812,False,0.19739,0.95795,29.79,0.57835,0.07528,0.22976,0.82385,22.41,0.40629,0.13785,0.43003,0.0324,124.6
task_obj_add_40931,phase,instruct-pix2pix,Add the blood on snout,,1.27,False,0.0,100,7.5,1.5,20260812,False,0.33259,0.93601,27.662,0.495,0.05701,0.32021,0.63954,18.273,0.30576,0.22008,0.40543,0.04139,124.3
task_obj_add_584511,phase,instruct-pix2pix,Add dog,,1.27,False,0.0,100,7.5,1.5,20260812,False,0.24382,0.95678,33.825,0.62083,0.05182,0.23327,0.83785,25.788,0.4606,0.12527,0.19325,0.02036,124.2
task_obj_add_767982,phase,instruct-pix2pix,Add grape,,1.27,False,0.0,100,7.5,1.5,20260812,False,0.20697,0.94969,28.34,0.54924,0.06183,0.26971,0.77875,20.515,0.33579,0.13455,0.46224,0.03828,122.5
task_obj_remove_257910,phase,instruct-pix2pix,Remove bracelet,,1.27,False,0.0,100,7.5,1.5,20260812,False,0.20216,0.97726,34.755,0.69174,0.03558,0.20152,0.88325,25.914,0.45124,0.07919,0.3231,0.01829,122.4
task_obj_remove_388764,phase,instruct-pix2pix,Remove green chair,,1.27,False,0.0,100,7.5,1.5,20260812,False,0.13042,0.97655,32.178,0.71394,0.06705,0.2758,0.83344,25.392,0.54567,0.19662,0.39269,0.02461,122.4
task_obj_remove_634326,phase,instruct-pix2pix,Remove fence,,1.27,False,0.0,100,7.5,1.5,20260812,False,0.20776,0.95096,30.073,0.53797,0.06128,0.45729,0.62181,14.413,0.24163,0.27403,0.46648,0.03136,82.0
task_obj_swap_joint_mask_276754,phase,instruct-pix2pix,Replace the satellite dish with rocket,,1.27,False,0.0,100,7.5,1.5,20260812,False,0.40749,0.88304,26.863,0.32324,0.08849,0.18863,0.79898,21.138,0.27876,0.20362,0.45425,0.04538,81.7
task_obj_swap_joint_mask_671429,phase,instruct-pix2pix,Replace the astronaut with man,,1.27,False,0.0,100,7.5,1.5,20260812,False,0.28251,0.91481,25.598,0.4264,0.07769,0.36325,0.61212,18.505,0.22414,0.16672,0.43905,0.05249,82.1
task_obj_swap_rand_mask_216136,phase,instruct-pix2pix,Replace the shimmering glass structures with tree stumps,,1.27,False,0.0,100,7.5,1.5,20260812,False,0.12023,0.96914,31.209,0.69563,0.06291,0.21669,0.74258,19.583,0.23183,0.14022,0.36252,0.02751,82.4
task_obj_swap_rand_mask_417469,phase,instruct-pix2pix,Replace the green flannel shirt with blue shirt,,1.27,False,0.0,100,7.5,1.5,20260812,False,0.19755,0.94855,29.065,0.53151,0.04315,0.2259,0.78187,22.203,0.36835,0.11169,0.58801,0.03522,39.1
