image,condition,attacker,instruction,task,radius,unreachable,pixel_gate_sigma,r_min,r_max,gl_iters,block,loss,gain_ratio,purify_aware,edit_steps,s_t,s_i,edit_seed,modified_from_paper,fid_lpips,fid_ssim,fid_psnr,fid_vif_p,fid_dists,edit_lpips,edit_ssim,edit_psnr,edit_vif_p,edit_dists,fid_linf,fid_rms,total_seconds
task_attr_mod_color_136767,phase,instruct-pix2pix,turn the color of astronaut to pink,,1.2,False,0.0,0.12,0.7,0,32,encoder_target,0.0,none,100,7.5,1.5,20260812,False,0.12942,0.95769,29.909,0.55138,0.06939,0.16974,0.87656,23.63,0.39375,0.10937,0.49338,0.03196,114.7
task_attr_mod_color_32648,phase,instruct-pix2pix,turn the color of potion bottle to orange,,1.2,False,0.0,0.12,0.7,0,32,encoder_target,0.0,none,100,7.5,1.5,20260812,False,0.11053,0.9912,41.983,0.73278,0.04124,0.13765,0.91066,22.618,0.69251,0.12266,0.16221,0.00796,37.3
task_env_weather_112463,phase,instruct-pix2pix,transform the setting to spring with blooming flowers,,1.2,False,0.0,0.12,0.7,0,32,encoder_target,0.0,none,100,7.5,1.5,20260812,False,0.14914,0.95475,31.861,0.60809,0.02931,0.25715,0.79171,21.326,0.3259,0.11801,0.31588,0.02552,37.5
task_env_weather_181583,phase,instruct-pix2pix,change the setting to a stormy day,,1.2,False,0.0,0.12,0.7,0,32,encoder_target,0.0,none,100,7.5,1.5,20260812,False,0.17999,0.94537,32.466,0.59218,0.03663,0.57577,0.70136,14.693,0.33701,0.33076,0.23971,0.02381,37.5
task_env_weather_63722,phase,instruct-pix2pix,change the setting to a snowy landscape,,1.2,False,0.0,0.12,0.7,0,32,encoder_target,0.0,none,100,7.5,1.5,20260812,False,0.11762,0.96071,27.834,0.53149,0.05966,0.15522,0.87924,22.799,0.35062,0.079,0.5074,0.04058,37.4
task_obj_add_340466,phase,instruct-pix2pix,Add orange juice,,1.2,False,0.0,0.12,0.7,0,32,encoder_target,0.0,none,100,7.5,1.5,20260812,False,0.08831,0.9727,31.383,0.64608,0.0473,0.18132,0.85931,17.942,0.47678,0.12467,0.37717,0.02697,37.4
task_obj_add_581286,phase,instruct-pix2pix,Add sauce,,1.2,False,0.0,0.12,0.7,0,32,encoder_target,0.0,none,100,7.5,1.5,20260812,False,0.08796,0.97743,36.942,0.7431,0.03369,0.11597,0.92393,30.325,0.62438,0.06477,0.37096,0.01422,37.5
task_obj_remove_10197,phase,instruct-pix2pix,Remove gravel path,,1.2,False,0.0,0.12,0.7,0,32,encoder_target,0.0,none,100,7.5,1.5,20260812,False,0.18261,0.93923,27.078,0.57905,0.0533,0.40936,0.47151,14.457,0.08381,0.2495,0.46276,0.04427,37.3
task_obj_remove_380621,phase,instruct-pix2pix,Remove iceberg,,1.2,False,0.0,0.12,0.7,0,32,encoder_target,0.0,none,100,7.5,1.5,20260812,False,0.15675,0.9581,30.161,0.63547,0.06795,0.22547,0.80851,21.535,0.39545,0.11309,0.59878,0.03104,37.4
task_obj_remove_657585,phase,instruct-pix2pix,Remove frisbee,,1.2,False,0.0,0.12,0.7,0,32,encoder_target,0.0,none,100,7.5,1.5,20260812,False,0.06738,0.98455,38.839,0.81165,0.03456,0.2493,0.83667,21.339,0.69358,0.16281,0.18359,0.01143,37.6
task_obj_swap_joint_mask_533428,phase,instruct-pix2pix,Replace the samurai armor with red jacket,,1.2,False,0.0,0.12,0.7,0,32,encoder_target,0.0,none,100,7.5,1.5,20260812,False,0.16397,0.93304,26.519,0.49458,0.06597,0.24796,0.76597,19.777,0.30776,0.12384,0.62375,0.04721,37.5
task_obj_swap_rand_mask_298147,phase,instruct-pix2pix,Replace the wizard's robe with red shirt,,1.2,False,0.0,0.12,0.7,0,32,encoder_target,0.0,none,100,7.5,1.5,20260812,False,0.28761,0.90414,27.541,0.44376,0.10153,0.42019,0.62858,19.166,0.2153,0.18574,0.52157,0.04197,37.8
